id,area,loss_0_1,diff_loss,diff_target
5745,155,0,0,0
5822,155,0,0,0
6122,155,0,0,0
6384,155,0,0,0
6638,155,0,0,0
6700,155,0,0,0
6733,155,0,0,0
6749,155,0,0,0
6913,155,0,0,0
6953,155,0,0,0
7071,155,0,0,0
7082,155,0,0,0
7140,155,0,0,0
7338,155,0,0,0
7357,155,0,0,0
7383,155,0,0,0
7428,155,0,0,0
7446,155,0,0,0
7528,155,0,0,0
7604,155,0,0,0
7722,155,0,0,0
7759,155,0,0,0
7833,155,0,0,0
8010,155,0,0,0
8051,155,0,0,0
8081,155,0,0,0
8135,155,0,0,0
8205,155,0,0,0
8313,155,0,0,0
8519,155,0,0,0
8579,155,0,0,0
8640,155,0,0,0
8644,155,1,1,0
8667,155,0,0,0
8704,155,1,1,0
9083,155,0,0,0
9226,155,0,0,0
9252,155,0,0,0
9391,155,0,0,0
9436,155,0,0,0
9690,155,0,0,0
9776,155,0,0,0
9876,155,0,0,0
10014,155,0,0,0
10049,155,0,0,0
10206,155,0,0,0
10245,155,0,0,0
10251,155,0,0,0
10357,155,0,0,0
10487,155,0,0,0
10612,155,0,0,0
10619,155,0,0,0
10757,155,0,0,0
10812,155,0,0,0
10826,155,0,0,0
10936,155,0,0,0
11010,155,0,0,0
11030,155,0,0,0
11081,155,0,0,0
11086,155,0,0,0
11140,155,0,0,0
11171,155,0,0,0
11379,155,0,0,0
11416,155,0,0,0
11474,155,0,0,0
11541,155,0,0,0
11812,155,0,0,0
11897,155,0,0,0
11929,155,0,0,0
12003,155,0,0,0
12016,155,0,0,0
12137,155,0,0,0
12182,155,0,0,0
12275,155,0,0,0
12461,155,0,0,0
